Business|"palmOneUpgrades Treo With Faster Chip, Better Display\With more than 600,000 units shipped, the Treo 600 is one of the big smartphone success stories. Last week, palmOne introduced the follow-on Treo 650 with a higher resolution 320-by-320-pixel TFT screen, which the company claims increases the visible area of the display and makes pictures and documents much clearer. The 650 also carries a removable battery; 32MB of flash memory, and a faster 312MHz, Intel XScale processor. Improved multimedia features include a built-in MP3 player, a digital camera with improved low-light capabilities, as well as video capture and playback functionality. Products are expected to ship by years end from some carriers who will add their own services, and will be priced at about \$499.\ Treo 650, palmOne"
Sports|"A.J. Feeley will replace Jay Fiedler as the starter Sunday at Seattle, interim coach Jim Bates says Monday."
Business|"Crude oil futures continued to climb Friday, reaching new record high as decline in the US inventory of heating oil and tight supplies still overshadowed theenergy markets."
Sports|" Amare Stoudemire scored a career high 50 points, including nine straight during a decisive 12 2 Phoenix run early in the fourth quarter, and the Suns beat the Portland Trail Blazers 117 98 Sunday night."
Sci/Tech|"Long before Richard Branson became the latest billionaire with a reality TV show, before he started his cellphone company, his airline and his record label, he sold music from the Virgin Record Shop on Oxford Street in London."
Sports|The punishment of Ron Artest by David Stern has convinced players' union head Billy Hunter that Stern's power needs to be addressed in current labor talks.
Sports|The Washington Huskies pay a visit to Notre Dame Stadium for the first time since 1996. The Fighting Irish (2-1) will look to extend their winning streak to three games while the Huskies 
Sci/Tech|"I.B.M. is in discussions to sell its PC business to Lenovo, the largest maker of PC's in China - a burgeoning market that Hewlett-Packard and Dell covet."
World|"Last week as Bobby Fischer languished in a detention centre in Japan, his new fiancee announced their impending nuptials. Andrew Alderson reports on the latest twist in the bizarre life "
Business|" Far fewer Americans made  initial  jobless claims than expected last week as the effects of  Hurricane Charley faded, government data showed on Thursday,  while import prices hit an 18 month high and inventories grew."
Business|"After waiting three long years, Bill Hammons was eager to get the keys to his new hybrid Ford Escape. And it #39;s no exaggeration to say Ford Motor Co."
Sports|AUSTRALIAN Troy Bayliss boosted his chances of securing a MotoGP seat for next year with a podium finish at the last race of the season in Spain yesterday.
Sports| Dirk Nowitzki hit a nifty basket that turned into a three point play in Dallas' game turning surge and finished with 22 points in the Mavericks' 112 88 victory Saturday night over the Memphis Grizzlies.
