名称,地址,细节,单价(元/m^2)
华清学府城 ,安装四处,3室1厅 | 132.93平米 | 南 北 | 简装 | 高楼层(共32层)  | 板塔结合,"13,767元/平"
莲湖路第1散排 ,城内,3室2厅 | 93.22平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,"9,226元/平"
北城新天地 ,高陵,3室2厅 | 110.08平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,"7,995元/平"
桐树湾 ,城北,2室1厅 | 90.24平米 | 北 | 精装 | 中楼层(共30层)  | 塔楼,"12,190元/平"
万科城三期 ,长安,3室2厅 | 88.84平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,"21,386元/平"
华城国际小区 ,城南,2室2厅 | 95.46平米 | 南 西 | 简装 | 中楼层(共30层)  | 塔楼,"14,666元/平"
海璟蓝寓 ,经开南,3室2厅 | 131.61平米 | 南 西南 | 毛坯 | 中楼层(共29层)  | 板塔结合,"10,562元/平"
上城小区 ,城西,1室2厅 | 39.34平米 | 东北 | 其他 | 高楼层(共22层)  | 塔楼,"16,523元/平"
海亮新英里 ,雁南,2室1厅 | 81.33平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,"20,288元/平"
西安航天城A区 ,长安,3室2厅 | 82.52平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,"17,330元/平"
华清学府城 ,安装四处,2室1厅 | 86.64平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,"15,351元/平"
恒大城 ,城西,3室1厅 | 114.2平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,"16,331元/平"
中海凯旋门 ,曲江,3室2厅 | 88.42平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,"29,179元/平"
紫薇田园都市B区 ,紫薇田园都市,3室2厅 | 129.99平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,"21,925元/平"
紫薇花园洲 ,世博园,4室2厅 | 122.13平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板塔结合,"14,329元/平"
水岸东方2期 ,半坡立交,2室1厅 | 94.88平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,"12,437元/平"
警卫处家属院 ,城南,3室2厅 | 157.64平米 | 南 北 | 简装 | 高楼层(共19层)  | 板楼,"10,341元/平"
海璟新天地 ,经开南,3室2厅 | 119.61平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,"10,451元/平"
卧龙巷小区 ,城东,2室2厅 | 96.52平米 | 东南 | 其他 | 低楼层(共12层)  | 板楼,"9,532元/平"
枫林九溪竹韵 ,国际港务区,4室1厅 | 134.02平米 | 南 北 | 简装 | 高楼层(共32层)  | 板楼,"18,505元/平"
新艺城 ,李家村,3室3厅 | 183.53平米 | 南 | 简装 | 高楼层(共15层)  | 塔楼,"9,427元/平"
博水西北院 ,城南,3室2厅 | 91.12平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,"12,072元/平"
天地源曲江香都 ,曲江,4室2厅 | 138.99平米 | 南 北 | 其他 | 中楼层(共27层)  | 板楼,"26,549元/平"
紫薇永和坊 ,曲江,3室1厅 | 161.44平米 | 南 北 | 毛坯 | 高楼层(共12层)  | 板塔结合,"31,467元/平"
中登家园 ,经开北,3室2厅 | 141.68平米 | 南 北 | 其他 | 中楼层(共29层)  | 塔楼,"9,995元/平"
电力设计院家属楼 ,城东,3室2厅 | 91.73平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,"7,501元/平"
唐都温泉花园 ,城西,2室2厅 | 95.66平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,"10,454元/平"
仕嘉公寓A区（绿地世纪城） ,锦业路,2室1厅 | 99.58平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,"19,583元/平"
南方星座 ,城南,2室2厅 | 104.46平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,"12,733元/平"
万科幸福臻园 ,经开南,3室2厅 | 102.05平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,"20,579元/平"
白桦林居小区 ,经开北,3室2厅 | 145.92平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,"22,239元/平"
中海开元壹号一二期 ,城北,2室1厅 | 73.37平米 | 南 | 简装 | 低楼层(共33层)  | 板楼,"18,809元/平"
新一代北城国际 ,城北,2室1厅 | 98.01平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,"14,081元/平"
仕嘉公寓A区（绿地世纪城） ,锦业路,2室1厅 | 99.58平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,"19,583元/平"
南方星座 ,城南,2室2厅 | 104.46平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,"12,733元/平"
紫薇永和坊 ,曲江,3室1厅 | 161.44平米 | 南 北 | 毛坯 | 高楼层(共12层)  | 板塔结合,"31,467元/平"
中登家园 ,经开北,3室2厅 | 141.68平米 | 南 北 | 其他 | 中楼层(共29层)  | 塔楼,"9,995元/平"
电力设计院家属楼 ,城东,3室2厅 | 91.73平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,"7,501元/平"
天地源曲江香都 ,曲江,4室2厅 | 138.99平米 | 南 北 | 其他 | 中楼层(共27层)  | 板楼,"26,549元/平"
美寓华庭（一二期） ,陕西大会堂,2室2厅 | 94.44平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,"15,778元/平"
融侨馨苑 ,城南,3室2厅 | 134.8平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,"17,730元/平"
万科金域曲江一期 ,曲江,2室2厅 | 78.13平米 | 东南 | 精装 | 高楼层(共34层)  | 板塔结合,"25,983元/平"
中海城 ,曲江,4室1厅 | 125.1平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,"24,461元/平"
万科幸福里 ,经开南,3室2厅 | 107.92平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,"20,386元/平"
白桦林家愿 ,高陵,3室2厅 | 100.03平米 | 南 北 | 精装 | 低楼层(共27层)  | 塔楼,"10,597元/平"
草阳村小区 ,城西,2室2厅 | 82.04平米 | 东 | 其他 | 低楼层(共21层)  | 板塔结合,"9,996元/平"
昆明时光 ,城西,2室1厅 | 87.34平米 | 东 南 | 精装 | 低楼层(共17层)  | 板塔结合,"14,312元/平"
西旅逸都 ,城西,2室1厅 | 37.79平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,"16,936元/平"
世纪华城 ,城东,3室2厅 | 98.05平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,"10,199元/平"
东窑坊 ,城东,2室1厅 | 87.24平米 | 西北 | 简装 | 高楼层(共27层)  | 板楼,"11,463元/平"
紫薇花园洲 ,世博园,2室1厅 | 81.75平米 | 南 西 | 毛坯 | 低楼层(共25层)  | 板塔结合,"14,312元/平"
海璟台北湾南区 ,经开南,1室0厅 | 59.33平米 | 西 | 其他 | 中楼层(共33层)  | 板塔结合,"11,799元/平"
天伦盛世小区 ,李家村,3室2厅 | 131.79平米 | 南 北 | 简装 | 低楼层(共34层)  | 板塔结合,"14,645元/平"
天朗蓝湖树 ,鱼化寨,2室2厅 | 72.78平米 | 东南 | 精装 | 高楼层(共27层)  | 塔楼,"21,435元/平"
中国铁建万科翡翠国际 ,曲江,3室2厅 | 90.23平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,"26,100元/平"
唐都温泉花园 ,城西,2室2厅 | 95.66平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,"10,454元/平"
设计院小区 ,城东,2室1厅 | 73.52平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,"8,434元/平"
西窑坊小区 ,城东,2室1厅 | 57.94平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,"8,285元/平"
尚品美地城 ,锦业路,3室2厅 | 124.26平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,"21,246元/平"
浐灞新城二期 ,纺织城,3室2厅 | 103.62平米 | 南 北 | 简装 | 高楼层(共16层)  | 板塔结合,"11,774元/平"
融创蘭园 ,城西,3室2厅 | 124.8平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,"19,231元/平"
中南紫云集 ,草滩,3室1厅 | 97.41平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,"17,453元/平"
御锦城繁花里 ,浐河西路,3室1厅 | 88.24平米 | 南 北 | 简装 | 高楼层(共34层)  | 板楼,"15,300元/平"
御锦城智慧树 ,浐河西路,3室2厅 | 94.14平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,"18,696元/平"
丰禾小区 ,城西,2室2厅 | 71.08平米 | 北 南 | 简装 | 高楼层(共7层)  | 板楼,"8,723元/平"
陕汽泾渭国际城 ,高陵,3室2厅 | 118.13平米 | 南 | 其他 | 高楼层(共24层)  | 暂无数据,"9,896元/平"
世纪花园 ,城南,2室2厅 | 106.28平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,"10,915元/平"
白桦林明天南区 ,城北,3室2厅 | 138.66平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,"15,578元/平"
碧桂园天玺 ,经开南,3室2厅 | 94.7平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,"17,530元/平"
长青园 ,长安,5室2厅 | 165.44平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,"7,133元/平"
龙湖香醍璟宸 ,安装四处,3室2厅 | 115平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,"18,000元/平"
南湖七号 ,雁鸣湖,4室2厅 | 93.54平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,"50,246元/平"
自然界云宸 ,浐河西路,4室2厅 | 177.19平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板塔结合,"22,914元/平"
中海·曲江碧林湾 ,曲江,3室2厅 | 128.54平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,"22,484元/平"
盛城东星 ,城东,3室2厅 | 106.64平米 | 西北 | 精装 | 低楼层(共33层)  | 板塔结合,"15,754元/平"
中国铁建西派国际A区 ,城北,3室2厅 | 108.68平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,"19,507元/平"
汇通太古城·青都新界 ,经开北,5室2厅 | 191.5平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,"16,972元/平"
大唐新干线 ,高陵,2室1厅 | 80.09平米 | 东 南 | 简装 | 高楼层(共6层)  | 板楼,"6,493元/平"
翠屏湾二期 ,矿山路,2室2厅 | 49.03平米 | 北 | 精装 | 中楼层(共20层)  | 板塔结合,"17,337元/平"
伟业公馆 ,高新六路,3室2厅 | 140.39平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,"26,356元/平"
紫薇风尚西区 ,经开北,4室2厅 | 171.88平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,"21,993元/平"
江山铭著 ,矿山路,4室2厅 | 135.9平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,"21,708元/平"
体育新区 ,临潼,2室2厅 | 107.25平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,"5,408元/平"
盛世豪庭 ,临潼,3室1厅 | 106.87平米 | 南 北 | 简装 | 中楼层(共12层)  | 暂无数据,"8,516元/平"
汇通太古城·青都新界 ,经开北,4室2厅 | 127.85平米 | 北 南 | 精装 | 中楼层(共32层)  | 板塔结合,"17,052元/平"
渭水茗居 ,高陵,2室2厅 | 78.63平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 平房,"6,995元/平"
兰乔圣菲 ,城南,3室2厅 | 113.86平米 | 南 北 | 精装 | 中楼层(共25层)  | 板塔结合,"15,370元/平"
万科城一期 ,长安,3室2厅 | 89.72平米 | 南 | 简装 | 中楼层(共32层)  | 板楼,"21,400元/平"
美苑楼尚 ,城南,4室1厅 | 70.85平米 | 西 | 简装 | 高楼层(共20层)  | 塔楼,"14,821元/平"
车城温泉花园 ,高陵,3室2厅 | 130.69平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,"7,117元/平"
海璟台北湾南区 ,经开南,1室0厅 | 59.33平米 | 西 | 其他 | 中楼层(共33层)  | 板塔结合,"11,799元/平"
天伦盛世小区 ,李家村,3室2厅 | 131.79平米 | 南 北 | 简装 | 低楼层(共34层)  | 板塔结合,"14,645元/平"
浐灞新城二期 ,纺织城,3室2厅 | 103.62平米 | 南 北 | 简装 | 高楼层(共16层)  | 板塔结合,"11,774元/平"
中国铁建万科翡翠国际 ,曲江,3室2厅 | 90.23平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,"26,100元/平"
西安航天城A区 ,长安,3室2厅 | 82.29平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,"18,350元/平"
御锦城云禧 ,浐河西路,4室2厅 | 124.11平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,"18,371元/平"
天竹综合大厦 ,城北,2室2厅 | 111.89平米 | 东 | 精装 | 中楼层(共29层)  | 塔楼,"9,832元/平"
融侨城 ,唐延路,3室2厅 | 118.89平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,"19,262元/平"
九形道 ,高新六路,3室2厅 | 119.28平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板塔结合,"14,923元/平"
贰号大院 ,经开北,3室2厅 | 111.74平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,"15,214元/平"
海璟台北湾南区 ,经开南,2室1厅 | 85.2平米 | 东南 | 简装 | 中楼层(共33层)  | 板塔结合,"13,616元/平"
领先时代广场 ,科技六路,1室1厅 | 58.36平米 | 南 | 简装 | 17层  | 塔楼,"16,793元/平"
太阳水岸新城 ,长安,2室2厅 | 93.91平米 | 南 | 其他 | 低楼层(共26层)  | 板楼,"12,566元/平"
产寿险保险公司家属院 ,李家村,3室2厅 | 99.08平米 | 北 南 | 精装 | 中楼层(共7层)  | 板楼,"10,699元/平"
银池花香丽舍 ,经开北,2室2厅 | 100.32平米 | 南 北 | 简装 | 低楼层(共15层)  | 板楼,"11,663元/平"
天朗大兴郡蔚蓝君城 ,城西,2室2厅 | 57.79平米 | 东 | 精装 | 高楼层(共33层)  | 板塔结合,"15,488元/平"
魏玛公馆 ,经开北,1室1厅 | 48.41平米 | 北 | 简装 | 高楼层(共24层)  | 板塔结合,"27,474元/平"
恒大帝景一期 ,经开南,3室2厅 | 130.76平米 | 南 北 | 其他 | 低楼层(共33层)  | 板塔结合,"18,202元/平"
金地褐石公馆 ,曲江,3室2厅 | 116.88平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,"20,492元/平"
金裕青青家园西区 ,浐河西路,2室2厅 | 99.89平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,"10,512元/平"
智慧新城 ,长安,2室2厅 | 86.52平米 | 东南 | 精装 | 高楼层(共33层)  | 板塔结合,"17,338元/平"
旭景兴园 ,经开北,2室1厅 | 89.47平米 | 东南 | 其他 | 高楼层(共33层)  | 板塔结合,"12,072元/平"
招商依云曲江 ,曲江,3室1厅 | 93.78平米 | 东 南 | 精装 | 低楼层(共32层)  | 板塔结合,"22,393元/平"
融侨城 ,唐延路,2室1厅 | 90平米 | 南 | 简装 | 低楼层(共33层)  | 板楼,"18,889元/平"
华清园 ,浐河西路,3室3厅 | 133.54平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,"8,238元/平"
尚品美地城 ,锦业路,3室2厅 | 105.76平米 | 东 | 简装 | 中楼层(共33层)  | 板塔结合,"21,275元/平"
恒基碧翠锦华 ,城东,3室2厅 | 101.04平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,"18,112元/平"
富力城南区 ,长安,4室2厅 | 165.66平米 | 南 北 | 精装 | 高楼层(共30层)  | 板塔结合,"16,903元/平"
西安东方漂染厂家属院 ,城东,2室1厅 | 58.38平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,"7,880元/平"
雅荷花园 ,经开南,3室1厅 | 110.57平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,"10,130元/平"
浐灞半岛A11区 ,浐河西路,3室1厅 | 124.27平米 | 南 北 | 精装 | 中楼层(共27层)  | 板塔结合,"15,692元/平"
万科金域东郡 ,矿山路,3室1厅 | 103.51平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,"20,192元/平"
